what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1719317538563
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1719317538563
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1719317538564
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1719317538564
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1719317538565
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1719317538565
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1719317538565
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1719317538566
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1719317538566
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1719317538566
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1719317538567
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1719317538567
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1719317538568
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1719317538568
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1719317538568
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1719317538569
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1719317538569
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1719317538569
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1719317538570
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1719317538570
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1719317538570
os,sysinfo,,,"win32",1719317538572
arch,sysinfo,,,"x86_64",1719317538572
ws,sysinfo,,,"win32",1719317538572
locale,sysinfo,,,"en_IN",1719317538572
processors,sysinfo,,,"12",1719317538572
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1719317538572
java.runtime.version,sysinfo,,,"1.8.0_411-b09",1719317538572
java.specification.name,sysinfo,,,"Java Platform API Specification",1719317538572
java.specification.vendor,sysinfo,,,"Oracle Corporation",1719317538572
java.specification.version,sysinfo,,,"1.8",1719317538572
java.vendor,sysinfo,,,"Oracle Corporation",1719317538572
java.version,sysinfo,,,"1.8.0_411",1719317538572
java.vm.info,sysinfo,,,"mixed mode",1719317538572
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1719317538572
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1719317538572
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1719317538572
java.vm.specification.version,sysinfo,,,"1.8",1719317538572
java.vm.vendor,sysinfo,,,"Oracle Corporation",1719317538572
java.vm.version,sysinfo,,,"25.411-b09",1719317538572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1719317588833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1719317590794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1719317619887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1719317626305
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1719317633420
closed,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1719317633431
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1719317636441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1719317646817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1719317648627
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1719317648698
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1719317648831
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1719317648834
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1719317648968
